customer_id,name,country,birthdate,signup_date,kyc_level
C1131,Dustin Jordan,UK,1999-07-06,2025-01-23,FULL
C1132,Mary Marshall,IT,1997-03-07,2024-08-26,FULL
C1133,Daniel Kennedy,UK,2003-09-22,2025-07-19,FULL
C1134,Rebecca Jackson,DE,1995-11-12,2023-12-30,FULL
C1135,Jose Schultz,DE,1977-08-29,2022-10-11,BASIC
C1136,Robert Potter,IT,1993-01-14,2024-05-15,FULL
C1137,Courtney Gonzalez,FR,1957-06-27,2023-10-08,BASIC
C1138,David Alvarez,FR,1956-08-13,2022-09-12,FULL
C1139,Angel Perry,UK,1960-03-18,2023-08-12,FULL
C1140,Cheyenne Horton,ES,1957-10-11,2025-02-22,BASIC
C1141,David Douglas Jr.,UK,1998-05-03,2022-12-30,FULL
C1142,Patricia Rodriguez,IT,2007-02-25,2022-11-17,FULL
C1143,Christopher Rubio,IT,1993-12-07,2024-06-27,FULL
C1144,Amber Wright,IT,1972-09-11,2024-02-25,BASIC
C1145,Joyce Solis,IT,1998-12-29,2025-08-31,FULL
C1146,Victoria Larson,IT,1969-01-11,2022-12-16,FULL
C1147,Stephanie Salazar,DE,2006-11-16,2024-12-26,FULL
C1148,Kathy Rivas,FR,1993-08-14,2022-12-10,FULL
C1149,Stephanie Manning,IT,1983-01-13,2022-12-24,FULL
C1150,David Wright,ES,1996-09-30,2024-09-10,FULL
C1151,Pamela Boyd,ES,1998-03-03,2022-10-27,FULL
C1152,Denise Jones,ES,1956-09-29,2023-11-27,FULL
C1153,Devon Flores,ES,1988-07-29,2024-06-04,FULL
C1154,Brenda Hall,DE,1997-05-13,2023-06-14,BASIC
C1155,Michelle Brown,ES,1991-10-24,2023-04-06,BASIC
C1156,Joshua Perry,IT,1974-05-25,2025-05-31,FULL
C1157,Jason Stein,UK,1998-05-14,2025-06-07,FULL
C1158,Melissa Gates,ES,1975-03-30,2024-06-22,FULL
C1159,Jamie Smith,DE,1987-07-20,2024-04-11,BASIC
C1160,Paul Castaneda,DE,1971-05-08,2024-04-24,BASIC
C1161,Jennifer Adkins,ES,2001-04-19,2024-08-04,BASIC
C1162,Lindsey Walker,UK,1982-04-27,2024-04-16,FULL
C1163,Jeffrey Johnson,ES,1974-12-04,2024-04-13,FULL
C1164,Michael Powell,DE,1985-07-19,2023-01-10,FULL
C1165,John Anderson,FR,1959-08-26,2025-08-03,FULL
C1166,Alyssa Long,IT,2001-07-18,2025-07-02,FULL
C1167,Alyssa Day,DE,1958-10-06,2024-12-23,FULL
C1168,Joel Williams,ES,1965-06-11,2023-04-02,FULL
C1169,Daniel Murphy,IT,1984-08-07,2025-06-19,FULL
C1170,Jamie Walton,ES,1982-12-20,2024-03-01,FULL
C1171,Darlene Miller,ES,1987-08-22,2023-03-11,FULL
C1172,Joshua Cooke,FR,1986-04-16,2023-06-12,FULL
C1173,Matthew Harrington,IT,1968-07-27,2024-12-20,FULL
C1174,Nicole Herring,IT,1977-11-01,2024-05-10,BASIC
C1175,Alex Hernandez,FR,1995-12-20,2024-12-07,FULL
C1176,Michael Elliott,DE,1964-06-17,2023-03-24,FULL
C1177,Michael Wang,ES,1975-12-16,2023-08-19,BASIC
C1178,Lawrence Adkins,UK,2003-07-28,2022-09-13,FULL
C1179,Robert Oconnell,ES,1976-05-31,2022-10-13,FULL
C1180,Alexander Collins,ES,2004-08-24,2023-12-15,FULL
C1181,Tina Sanders,DE,1978-03-10,2024-08-27,FULL
C1182,Angela Vaughn,ES,1981-10-26,2025-07-20,FULL
C1183,Ashley Barton,FR,1963-08-02,2024-12-31,BASIC
C1184,Lindsay Martinez,FR,2006-06-13,2024-06-27,BASIC
C1185,Dr. Hannah Patterson,IT,1979-11-25,2024-12-12,BASIC
C1186,Jonathan Peterson,UK,1989-09-23,2024-04-19,BASIC
C1187,Samantha Garcia,ES,1992-11-26,2023-08-30,BASIC
C1188,Madison Poole,ES,1961-11-29,2023-09-27,BASIC
C1189,Jessica Gross,DE,1976-05-26,2024-08-23,FULL
C1190,Debra Morton,FR,1971-02-19,2024-02-27,BASIC
C1191,Karen Graham,UK,1986-06-06,2023-05-06,FULL
C1192,Debra Christian,IT,1963-01-09,2023-11-10,FULL
C1193,Angelica Keith,FR,1972-11-20,2023-06-27,FULL
C1194,John Bishop,IT,1985-04-12,2023-03-02,FULL
C1195,Allen Rosales,DE,1971-07-23,2022-10-28,BASIC
C1196,Daniel Salinas,DE,1964-04-09,2025-06-29,BASIC
C1197,Spencer Haynes,ES,1961-04-10,2024-06-20,BASIC
C1198,Adam Vaughan,UK,1958-02-16,2025-04-20,BASIC
C1199,Nathan Freeman,IT,1974-06-08,2022-10-02,BASIC
C1200,Melissa Brewer,FR,1980-10-29,2023-09-16,BASIC
C1201,Ricky Davis II,DE,1996-07-24,2023-07-25,BASIC
C1202,Elizabeth Perkins,ES,1983-02-20,2022-12-21,BASIC
C1203,Joseph Coleman,ES,1971-07-31,2023-02-11,FULL
C1204,Erin Warner,IT,1965-07-21,2025-03-18,BASIC
C1205,David Martinez,DE,1976-12-19,2022-10-30,FULL
C1206,Bryan Herrera,UK,1993-12-30,2024-08-01,FULL
C1207,Cathy Robinson,DE,2003-10-04,2025-03-24,FULL
C1208,Dr. William Warren,IT,1975-12-19,2025-07-17,BASIC
C1209,Brian Lee,IT,1967-08-09,2025-09-04,FULL
C1210,Christopher Smith,DE,2006-08-13,2022-11-22,FULL
C1211,Denise Mccann,IT,1965-07-12,2023-09-23,BASIC
C1212,Melissa Martinez,DE,1988-08-04,2022-11-15,FULL
C1213,Katherine Salas,FR,1989-09-17,2024-05-24,FULL
C1214,Julie Alexander,DE,1986-06-14,2024-07-20,BASIC
C1215,Anthony Everett,DE,1988-08-16,2023-09-07,BASIC
C1216,Rodney Morales,IT,1975-09-06,2024-12-24,FULL
C1217,Mark Brown,IT,1988-07-13,2023-08-11,FULL
C1218,Justin Torres,ES,1956-04-06,2022-12-04,BASIC
C1219,Bailey Duran DDS,ES,1960-10-24,2023-04-13,BASIC
C1220,Courtney Mills,FR,1981-06-12,2024-10-29,FULL
C1221,Jeremy Dalton,ES,1989-01-29,2023-12-01,FULL
C1222,Elizabeth Oliver DDS,DE,1985-10-19,2023-09-06,FULL
C1223,Theresa Clark,IT,1971-01-25,2025-02-18,FULL
C1224,Matthew Moore,ES,1969-04-29,2024-01-16,FULL
C1225,Benjamin Smith,ES,1994-05-20,2025-02-21,FULL
C1226,Kirk Carter,FR,1978-09-13,2025-03-24,BASIC
C1227,Michael Warner,FR,1957-12-30,2025-07-18,BASIC
C1228,Michael Bradshaw,DE,1958-02-15,2024-01-19,FULL
C1229,Lori Guerrero,IT,1973-10-31,2023-09-11,FULL
C1230,Jessica Stephens,FR,1988-05-12,2023-12-20,FULL
C1231,Susan Serrano,ES,1995-05-07,2023-04-18,FULL
C1232,Christopher Parker,IT,1999-03-17,2025-06-29,BASIC
C1233,Laura Roberts,IT,2000-06-13,2024-11-25,FULL
C1234,Michael Lyons,ES,1986-09-16,2023-08-17,FULL
C1235,Kathryn Snyder,FR,1974-02-17,2024-06-11,BASIC
C1236,Andrew Reynolds,ES,1991-03-17,2023-12-18,BASIC
C1237,David Davis,IT,1955-03-30,2023-11-09,FULL
C1238,Sara Johnston,UK,1961-12-31,2022-12-11,BASIC
C1239,Yvonne Chambers,UK,1984-01-04,2025-01-19,FULL
C1240,Andrew Avila,DE,1963-10-19,2025-03-15,BASIC
C1241,Matthew Moon,ES,1972-09-06,2023-06-07,FULL
C1242,Kevin Walters,ES,2004-03-11,2025-05-07,BASIC
C1243,Brandon Bailey MD,DE,1979-07-30,2025-07-28,FULL
C1244,Shannon Rivera,DE,2006-08-31,2024-07-02,FULL
C1245,Donna Landry,DE,1982-02-15,2025-01-18,FULL
C1246,Krista Gibson,IT,1979-08-03,2024-10-16,FULL
C1247,Frank Cordova,ES,1957-10-06,2022-11-19,FULL
C1248,Jose Travis,IT,1981-12-11,2024-02-25,BASIC
C1249,Kimberly Gutierrez,DE,1958-03-02,2025-06-03,FULL
C1250,Isaiah Avila,ES,1993-06-29,2025-07-16,FULL
C1251,Olivia Harris,IT,1992-12-01,2024-04-22,FULL
C1252,Tanya Kim,IT,1967-12-07,2024-11-30,FULL
C1253,Barbara Dudley,DE,1979-05-10,2024-01-16,BASIC
C1254,Cynthia Moore,ES,1992-05-01,2025-08-24,BASIC
C1255,Kristen Davis,DE,1974-04-29,2024-06-15,FULL
C1256,Susan Murray MD,ES,1959-09-09,2024-06-03,FULL
C1257,Kathleen Moran,UK,1980-12-22,2023-04-27,FULL
C1258,Denise Davenport,FR,1988-12-31,2023-12-17,FULL
C1259,Mrs. Kristen Reyes,FR,1985-05-01,2024-04-14,FULL
C1260,Katie Suarez,FR,2006-09-14,2023-06-20,FULL
C1261,Desiree Tyler,DE,1992-02-07,2024-12-21,BASIC
C1262,Timothy Romero,UK,1973-09-20,2024-09-12,BASIC
C1263,Diane Evans,ES,1997-02-04,2023-09-17,BASIC
C1264,Yvonne Burns,IT,2000-12-26,2023-08-24,BASIC
C1265,Joshua Reed,ES,1996-04-07,2023-12-19,BASIC
C1266,Kimberly Gibson,IT,1962-10-09,2023-04-20,BASIC
C1267,Colin Terry,ES,1963-06-10,2024-08-27,BASIC
C1268,Cynthia Rowe,UK,1961-04-07,2022-12-06,BASIC
C1269,Patrick Thornton,IT,1981-06-28,2025-01-28,FULL
C1270,Jasmin Alvarado,DE,1980-01-30,2024-06-10,BASIC
C1271,Veronica Simpson,ES,1977-10-05,2024-06-16,FULL
C1272,Jonathan Lawrence,ES,1992-08-23,2025-01-20,FULL
C1273,Shelly Alexander,IT,1979-07-26,2024-12-09,FULL
C1274,Joyce Bowen,DE,2006-01-22,2023-04-04,BASIC
C1275,Matthew Moore,DE,1964-07-02,2024-05-03,FULL
C1276,Wayne Morgan,UK,1968-03-25,2023-09-20,FULL
C1277,Marie Christian,DE,1995-09-07,2023-10-09,FULL
C1278,Shannon James,DE,1989-05-01,2023-07-20,FULL
C1279,Nathan Malone,DE,1981-12-31,2024-02-03,BASIC
C1280,Amanda Jones,FR,1988-09-18,2025-06-08,BASIC
C1281,Tammie Bright,UK,1957-06-04,2023-01-08,FULL
C1282,Jessica Garcia,ES,1957-10-08,2024-08-06,FULL
C1283,Shelia Wallace,IT,1957-05-02,2024-04-06,FULL
C1284,Stephanie Williams,ES,1964-01-05,2023-01-29,FULL
C1285,Elaine Brooks,UK,2003-03-31,2024-12-18,BASIC
C1286,Joseph Knight,IT,1977-05-07,2023-06-30,FULL
C1287,Carolyn Miller,UK,1986-12-03,2022-11-27,BASIC
C1288,Lisa Allen,DE,1990-01-10,2023-10-30,FULL
C1289,Briana Murray,IT,1985-10-13,2024-04-15,FULL
C1290,David Smith,DE,1964-10-26,2025-07-20,FULL
C1291,Stephanie Byrd,ES,1995-12-10,2025-04-04,BASIC
C1292,Jeremy Reed,ES,1989-10-06,2025-04-01,BASIC
C1293,Margaret Coleman,IT,1964-03-13,2022-11-08,FULL
C1294,Ryan Gonzalez,IT,1977-01-01,2022-12-30,BASIC
C1295,John Young,UK,1996-05-27,2023-06-27,FULL
C1296,Laura Haney,UK,1976-05-12,2025-03-08,BASIC
C1297,William Barrett,DE,1965-09-29,2025-07-17,FULL
C1298,Keith Jennings,IT,1981-06-04,2025-01-23,FULL
C1299,Amber Obrien,ES,1996-08-21,2023-08-11,BASIC
C1300,Tanner Mitchell DDS,UK,2004-12-29,2024-09-21,FULL
C1301,Heather Fields,UK,1975-01-18,2023-07-29,BASIC
C1302,Megan Le,ES,1995-02-02,2024-02-07,BASIC
C1303,Sara Fuller,UK,1977-07-29,2023-12-22,FULL
C1304,Maria Parker,DE,1989-03-17,2022-10-01,FULL
C1305,Kevin Oconnor,IT,1989-05-16,2023-08-03,FULL
C1306,Edward Burgess,ES,1990-11-29,2023-06-30,BASIC
C1307,Carlos Ryan,IT,1988-01-08,2023-03-09,FULL
C1308,Kiara Mcintyre,UK,2002-11-30,2024-09-20,FULL
C1309,Dawn Summers,UK,1992-12-28,2023-09-19,FULL
C1310,Dr. Paul Morgan,ES,1975-02-01,2025-08-23,FULL
C1311,Victor Taylor,DE,1987-01-01,2025-04-03,FULL
C1312,Shannon Ramsey,FR,1955-10-26,2025-09-05,FULL
C1313,Tracy Ballard,ES,1979-10-02,2023-07-22,FULL
C1314,Richard Smith,FR,1977-03-24,2024-05-16,FULL
C1315,Jordan Chambers,FR,2000-07-15,2023-09-14,FULL
C1316,Lauren Carson,DE,1962-02-22,2025-01-12,BASIC
C1317,Ashley Hall,FR,1983-01-12,2024-01-20,FULL
C1318,Stephen Hoffman,FR,1994-05-28,2023-11-21,FULL
C1319,Connie Brown,DE,1975-08-16,2024-04-21,BASIC
C1320,Susan Turner,FR,2004-01-17,2024-09-01,BASIC
C1321,Charles Shah,FR,2001-07-04,2024-12-14,FULL
C1322,Johnathan Davis,FR,1997-07-04,2025-06-11,FULL
C1323,Brandy Chavez,ES,1956-07-01,2024-03-19,FULL
C1324,Natalie Bautista,ES,1995-04-22,2023-12-31,BASIC
C1325,Patrick Moore,ES,1986-12-25,2023-10-19,FULL
C1326,Brett Burns,DE,1972-10-02,2024-03-19,BASIC
C1327,Trevor Johnson,UK,1999-04-19,2024-11-12,BASIC
C1328,Jeremy Sampson,FR,2007-07-03,2024-10-19,BASIC
C1329,Ariana Jennings,FR,1994-01-19,2024-08-31,FULL
C1330,Vanessa Howard,DE,1993-12-29,2023-02-08,FULL
C1331,Colton Martinez,FR,1970-03-03,2024-09-06,FULL
C1332,Jordan Bates,ES,2003-10-11,2024-01-18,FULL
C1333,Linda Smith,UK,1958-03-07,2023-07-20,FULL
C1334,Dana Martinez,IT,1994-05-24,2024-04-05,FULL
C1335,Andrea Hubbard,FR,1987-05-19,2024-01-07,FULL
C1336,Daniel Kane,ES,1966-04-16,2024-06-12,FULL
C1337,Charles Lester,IT,1990-05-11,2022-11-18,FULL
C1338,Scott Thomas,UK,1997-06-28,2025-01-28,FULL
C1339,David Thompson,IT,2003-10-06,2023-08-17,FULL
C1340,Allison Smith,ES,1996-11-09,2023-04-22,FULL
C1341,Cynthia Morris,IT,2007-05-25,2022-10-03,FULL
C1342,Anthony Harmon,DE,1980-07-22,2023-10-18,BASIC
C1343,Nichole Alvarez,IT,1964-09-27,2025-01-14,FULL
C1344,Kayla Rodriguez,FR,2001-01-03,2025-03-03,FULL
C1345,Theresa Williams,FR,1971-03-02,2025-02-23,FULL
C1346,Sharon Boyd,DE,1956-10-31,2024-06-17,FULL
C1347,Victor Brown,ES,1993-08-25,2023-12-10,FULL
C1348,James Parks,FR,2002-05-10,2023-05-02,BASIC
C1349,Theodore Jones Jr.,UK,1962-03-01,2023-07-09,FULL
C1350,Ana Hill,FR,1967-09-01,2024-02-02,FULL
C1351,Kimberly Nguyen,FR,1955-12-22,2023-08-31,FULL
C1352,Kerry Chavez DDS,ES,1984-09-12,2024-04-20,BASIC
C1353,Michael Farrell,IT,1976-01-12,2025-02-09,FULL
C1354,Patricia Le,FR,1983-03-08,2023-09-24,FULL
C1355,Jesse Perez,DE,1964-12-27,2024-10-22,FULL
C1356,Jesse Perry,IT,1982-10-15,2025-01-10,FULL
C1357,Jeffery Ortega,UK,2001-09-03,2025-06-20,FULL
C1358,Christian Leblanc,ES,1968-07-23,2025-08-06,BASIC
C1359,Ronald Davis,UK,1982-08-11,2024-02-14,FULL
C1360,Parker Cain,IT,1988-10-31,2023-10-12,BASIC
C1361,Laurie Hoffman,IT,2007-06-04,2024-10-06,FULL
C1362,Bryan Gomez,IT,1996-04-18,2025-05-31,BASIC
C1363,Nicole Parrish,UK,1986-10-11,2024-10-09,FULL
C1364,Tracy Burke,IT,2004-10-04,2024-08-23,FULL
C1365,Kenneth Lewis,UK,2004-03-08,2023-05-27,FULL
C1366,Courtney Rodriguez,IT,1958-12-04,2024-03-08,FULL
C1367,Holly Farmer,DE,2002-09-18,2023-05-28,FULL
C1368,Renee Bruce,IT,1964-01-31,2023-04-13,BASIC
C1369,Sabrina Austin,UK,1989-12-24,2025-01-04,FULL
C1370,Allison Hickman,FR,1968-10-17,2024-10-05,BASIC
C1371,Debra White,IT,1992-11-07,2023-06-20,FULL
C1372,Ellen Morgan,FR,1976-10-21,2024-12-28,FULL
C1373,Sergio Knight,DE,1999-10-01,2025-06-01,BASIC
C1374,Charles Schultz,ES,1987-03-28,2022-12-08,BASIC
C1375,Paul Lewis,DE,1990-06-11,2024-11-29,FULL
C1376,Glen Wood,IT,1980-04-30,2022-10-30,FULL
C1377,Paula Bradley,FR,1976-01-14,2023-01-01,FULL
C1378,Anthony Moore,FR,1966-06-21,2025-07-12,FULL
C1379,Megan Nelson,UK,1985-12-18,2022-11-22,FULL
C1380,Karla Ramos,FR,1990-12-18,2022-09-17,BASIC
C1381,Paul Wilson,UK,1977-12-24,2024-06-09,FULL
C1382,Douglas Gregory,ES,1991-11-10,2023-04-09,BASIC
C1383,Mr. Andrew Foster,IT,1978-10-17,2025-05-14,FULL
C1384,Aimee Turner,UK,2000-09-04,2023-09-02,FULL
C1385,Chad Scott,ES,2007-03-21,2022-12-22,FULL
C1386,Adam Burgess,FR,2003-09-29,2023-04-30,FULL
C1387,James Padilla,FR,2001-01-04,2022-09-22,FULL
C1388,Sandra Drake,ES,1998-06-18,2023-08-13,BASIC
C1389,Scott Williams,FR,2001-11-12,2024-11-01,FULL
C1390,Thomas Atkins,ES,1972-09-03,2024-08-16,FULL
C1391,Laura Mckinney,UK,1996-03-14,2024-04-09,FULL
C1392,Brian Smith,UK,1987-08-20,2022-12-10,BASIC
C1393,Robert Montgomery,ES,1967-10-08,2025-04-24,FULL
C1394,Tamara Davis,UK,1971-06-18,2025-05-25,FULL
C1395,Dana Chapman,UK,1973-09-02,2025-07-09,FULL
C1396,Jennifer Collins,UK,1992-08-30,2025-04-22,FULL
C1397,Gary Jackson,DE,1974-12-31,2024-09-27,FULL
C1398,Ashley Hicks,IT,1969-12-27,2025-06-28,FULL
C1399,Hannah Luna,FR,1974-12-09,2024-10-04,BASIC
C1400,Robin Young,DE,2007-03-01,2022-10-02,FULL
C1401,Craig Morrison,UK,1974-05-09,2022-09-18,FULL
C1402,Mary Thompson,ES,2002-08-27,2024-12-12,FULL
C1403,Kathleen Webster,UK,1968-10-15,2025-01-11,FULL
C1404,Joann Glass,IT,2001-08-28,2024-06-07,FULL
C1405,Madison Weber,UK,2002-08-29,2022-09-26,FULL
C1406,Lori Hernandez,ES,1987-12-18,2022-10-03,FULL
C1407,Jeremy Turner,IT,1976-04-05,2024-12-08,BASIC
C1408,Anthony Romero,UK,1987-05-03,2023-11-08,FULL
C1409,Jesse Brown,IT,1978-06-03,2024-12-18,FULL
C1410,Angela Lin,FR,1992-10-28,2023-11-27,BASIC
C1411,Lisa Hunter,FR,2003-10-18,2022-10-04,FULL
C1412,Julian Conner,UK,1973-04-17,2024-10-27,FULL
C1413,Joanna Pacheco,IT,1974-04-09,2025-08-27,FULL
